scope,sourceKind,sourcePath,objectType,count
source,bundle,assets/aa/Android/01db9728509bd8ff74bc5f0d6fb7d407.bundle,AudioClip,1
source,bundle,assets/aa/Android/01ddf689e7527cb73fd4db331125e48f.bundle,AssetBundle,1
source,bundle,assets/aa/Android/01ddf689e7527cb73fd4db331125e48f.bundle,Sprite,1
source,bundle,assets/aa/Android/01ddf689e7527cb73fd4db331125e48f.bundle,Texture2D,1
source,bundle,assets/aa/Android/01e175d63ee4437792d353ab819458a6.bundle,AssetBundle,1
source,bundle,assets/aa/Android/01e175d63ee4437792d353ab819458a6.bundle,Sprite,1
source,bundle,assets/aa/Android/01e175d63ee4437792d353ab819458a6.bundle,Texture2D,1
source,bundle,assets/aa/Android/020ca77f4a9c50c6ed04dc63402cfc48.bundle,AssetBundle,1
source,bundle,assets/aa/Android/020ca77f4a9c50c6ed04dc63402cfc48.bundle,AudioClip,1
source,bundle,assets/aa/Android/02209f5545f3f72755ae2d9d7704a74b.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02209f5545f3f72755ae2d9d7704a74b.bundle,Sprite,1
source,bundle,assets/aa/Android/02209f5545f3f72755ae2d9d7704a74b.bundle,Texture2D,1
source,bundle,assets/aa/Android/02297ab7d0a02e397e157ac6bf53701a.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02297ab7d0a02e397e157ac6bf53701a.bundle,Sprite,1
source,bundle,assets/aa/Android/02297ab7d0a02e397e157ac6bf53701a.bundle,Texture2D,1
source,bundle,assets/aa/Android/0292a0565d385ac9122ec6cebc00cc09.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0292a0565d385ac9122ec6cebc00cc09.bundle,AudioClip,1
source,bundle,assets/aa/Android/02b5ba0d3ca815410e2f54517987f657.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02b5ba0d3ca815410e2f54517987f657.bundle,Sprite,1
source,bundle,assets/aa/Android/02b5ba0d3ca815410e2f54517987f657.bundle,Texture2D,1
source,bundle,assets/aa/Android/02c6b3d53eb561a8fc882de0e5260490.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02c6b3d53eb561a8fc882de0e5260490.bundle,AudioClip,1
source,bundle,assets/aa/Android/02c6b6406c32b0c961f2fb6b92154c9e.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02c6b6406c32b0c961f2fb6b92154c9e.bundle,Sprite,1
source,bundle,assets/aa/Android/02c6b6406c32b0c961f2fb6b92154c9e.bundle,Texture2D,1
source,bundle,assets/aa/Android/02cf98dbe24339db17694686847231ca.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02cf98dbe24339db17694686847231ca.bundle,TextAsset,1
source,bundle,assets/aa/Android/02da8ef6b4b7303c0d4fd6050008e726.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02da8ef6b4b7303c0d4fd6050008e726.bundle,Sprite,1
source,bundle,assets/aa/Android/02da8ef6b4b7303c0d4fd6050008e726.bundle,Texture2D,1
source,bundle,assets/aa/Android/02e7e3473113390a0814cd65505fded5.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02e7e3473113390a0814cd65505fded5.bundle,TextAsset,1
source,bundle,assets/aa/Android/02fc8f652f202d1902ef7df861356709.bundle,AssetBundle,1
source,bundle,assets/aa/Android/02fc8f652f202d1902ef7df861356709.bundle,TextAsset,1
source,bundle,assets/aa/Android/030cf4c1cc3dcdfef5aa49c45e4bd263.bundle,AssetBundle,1
source,bundle,assets/aa/Android/030cf4c1cc3dcdfef5aa49c45e4bd263.bundle,Sprite,1
source,bundle,assets/aa/Android/030cf4c1cc3dcdfef5aa49c45e4bd263.bundle,Texture2D,1
source,bundle,assets/aa/Android/031851ae60b58e28f77bcb80c2953b39.bundle,AssetBundle,1
source,bundle,assets/aa/Android/031851ae60b58e28f77bcb80c2953b39.bundle,Sprite,1
source,bundle,assets/aa/Android/031851ae60b58e28f77bcb80c2953b39.bundle,Texture2D,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,AnimationClip,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,Animator,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,AnimatorController,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,AssetBundle,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,GameObject,4
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,Material,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,MonoBehaviour,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,MonoScript,1
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,Sprite,3
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,SpriteRenderer,3
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,Texture2D,3
source,bundle,assets/aa/Android/03297c1e5ea8b7ef6168b8a9fb58a5f4.bundle,Transform,4
source,bundle,assets/aa/Android/0346140741c62ef259fa0026be1c37d1.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0346140741c62ef259fa0026be1c37d1.bundle,Sprite,1
source,bundle,assets/aa/Android/0346140741c62ef259fa0026be1c37d1.bundle,Texture2D,1
source,bundle,assets/aa/Android/0351e4b1b0de8d0ce1d09f00ec743769.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0351e4b1b0de8d0ce1d09f00ec743769.bundle,TextAsset,1
source,bundle,assets/aa/Android/036407b89ca165baa3f99d775ef8cebd.bundle,AssetBundle,1
source,bundle,assets/aa/Android/036407b89ca165baa3f99d775ef8cebd.bundle,TextAsset,1
source,bundle,assets/aa/Android/037e66c15d58b0f1303ab932d30f8aab.bundle,AssetBundle,1
source,bundle,assets/aa/Android/037e66c15d58b0f1303ab932d30f8aab.bundle,TextAsset,1
source,bundle,assets/aa/Android/038deca51c5f4052eeacd183ce40ced3.bundle,AssetBundle,1
source,bundle,assets/aa/Android/038deca51c5f4052eeacd183ce40ced3.bundle,AudioClip,1
source,bundle,assets/aa/Android/039d2de8024840751fbf00cb47bc8193.bundle,AssetBundle,1
source,bundle,assets/aa/Android/039d2de8024840751fbf00cb47bc8193.bundle,Sprite,1
source,bundle,assets/aa/Android/039d2de8024840751fbf00cb47bc8193.bundle,Texture2D,1
source,bundle,assets/aa/Android/039d88335e36051d276d0cb5fe10db7f.bundle,AssetBundle,1
source,bundle,assets/aa/Android/039d88335e36051d276d0cb5fe10db7f.bundle,Sprite,1
source,bundle,assets/aa/Android/039d88335e36051d276d0cb5fe10db7f.bundle,Texture2D,1
source,bundle,assets/aa/Android/0430cc7ba23c2714022a3048f5151aec.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0430cc7ba23c2714022a3048f5151aec.bundle,Sprite,1
source,bundle,assets/aa/Android/0430cc7ba23c2714022a3048f5151aec.bundle,Texture2D,1
source,bundle,assets/aa/Android/04687b9f9b0a7b069666978a524bfb69.bundle,AssetBundle,1
source,bundle,assets/aa/Android/04687b9f9b0a7b069666978a524bfb69.bundle,TextAsset,1
source,bundle,assets/aa/Android/04796b90727e7d862af38941dbc2a89f.bundle,AssetBundle,1
source,bundle,assets/aa/Android/04796b90727e7d862af38941dbc2a89f.bundle,AudioClip,1
source,bundle,assets/aa/Android/04932a222c746fa7cc2e6fe127c5fd59.bundle,AssetBundle,1
source,bundle,assets/aa/Android/04932a222c746fa7cc2e6fe127c5fd59.bundle,Sprite,1
source,bundle,assets/aa/Android/04932a222c746fa7cc2e6fe127c5fd59.bundle,Texture2D,1
source,bundle,assets/aa/Android/049e111c05a291249768a06f376a4342.bundle,AssetBundle,1
source,bundle,assets/aa/Android/049e111c05a291249768a06f376a4342.bundle,TextAsset,1
source,bundle,assets/aa/Android/04a098c33cd0f3eb5158d5d6ca846046.bundle,AssetBundle,1
source,bundle,assets/aa/Android/04a098c33cd0f3eb5158d5d6ca846046.bundle,TextAsset,1
source,bundle,assets/aa/Android/04b04a09bd19084184e1cc62c05edeb4.bundle,AssetBundle,1
source,bundle,assets/aa/Android/04b04a09bd19084184e1cc62c05edeb4.bundle,TextAsset,1
source,bundle,assets/aa/Android/04d973243118495c83c0ff63479e65db.bundle,AssetBundle,1
source,bundle,assets/aa/Android/04d973243118495c83c0ff63479e65db.bundle,TextAsset,1
source,bundle,assets/aa/Android/0519b5085b7cd884134daf76c8e064c5.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0519b5085b7cd884134daf76c8e064c5.bundle,Sprite,1
source,bundle,assets/aa/Android/0519b5085b7cd884134daf76c8e064c5.bundle,Texture2D,1
source,bundle,assets/aa/Android/052748b967e6c150c339558ceb946405.bundle,AssetBundle,1
source,bundle,assets/aa/Android/052748b967e6c150c339558ceb946405.bundle,Sprite,1
source,bundle,assets/aa/Android/052748b967e6c150c339558ceb946405.bundle,Texture2D,1
source,bundle,assets/aa/Android/054e13e05a5628a5742ba03a43487b40.bundle,AssetBundle,1
source,bundle,assets/aa/Android/054e13e05a5628a5742ba03a43487b40.bundle,AudioClip,1
source,bundle,assets/aa/Android/054ef9f173b435078c3faa4c3d1c7f6c.bundle,AssetBundle,1
source,bundle,assets/aa/Android/054ef9f173b435078c3faa4c3d1c7f6c.bundle,Sprite,1
source,bundle,assets/aa/Android/054ef9f173b435078c3faa4c3d1c7f6c.bundle,Texture2D,1
source,bundle,assets/aa/Android/056ce8fc4ccdb683a3c157c41d3f8d09.bundle,AssetBundle,1
source,bundle,assets/aa/Android/056ce8fc4ccdb683a3c157c41d3f8d09.bundle,TextAsset,1
source,bundle,assets/aa/Android/05a5f9cb8d1641560d3017dcf8989d55.bundle,AssetBundle,1
source,bundle,assets/aa/Android/05a5f9cb8d1641560d3017dcf8989d55.bundle,TextAsset,1
source,bundle,assets/aa/Android/05a8f69931dd8e011656196b2b31bafc.bundle,AssetBundle,1
source,bundle,assets/aa/Android/05a8f69931dd8e011656196b2b31bafc.bundle,Sprite,1
source,bundle,assets/aa/Android/05a8f69931dd8e011656196b2b31bafc.bundle,Texture2D,1
source,bundle,assets/aa/Android/05ba0535594430230cf8c97ade33bbdb.bundle,AssetBundle,1
source,bundle,assets/aa/Android/05ba0535594430230cf8c97ade33bbdb.bundle,Sprite,1
source,bundle,assets/aa/Android/05ba0535594430230cf8c97ade33bbdb.bundle,Texture2D,1
source,bundle,assets/aa/Android/05cee7da06678bfee624d453b9e7c3e7.bundle,AssetBundle,1
source,bundle,assets/aa/Android/05cee7da06678bfee624d453b9e7c3e7.bundle,Sprite,1
source,bundle,assets/aa/Android/05cee7da06678bfee624d453b9e7c3e7.bundle,Texture2D,1
source,bundle,assets/aa/Android/05f65ae17c69fc8feaf64b97a1373656.bundle,AssetBundle,1
source,bundle,assets/aa/Android/05f65ae17c69fc8feaf64b97a1373656.bundle,Sprite,1
source,bundle,assets/aa/Android/05f65ae17c69fc8feaf64b97a1373656.bundle,Texture2D,1
source,bundle,assets/aa/Android/060e612971adde818a786490fa19c992.bundle,AssetBundle,1
source,bundle,assets/aa/Android/060e612971adde818a786490fa19c992.bundle,Sprite,1
source,bundle,assets/aa/Android/060e612971adde818a786490fa19c992.bundle,Texture2D,1
source,bundle,assets/aa/Android/0610cd7807131faf6c3055b99a9fe792.bundle,AssetBundle,1
source,bundle,assets/aa/Android/0610cd7807131faf6c3055b99a9fe792.bundle,TextAsset,1
source,bundle,assets/aa/Android/06b93cb45dba639983727bf4701e1b5c.bundle,AssetBundle,1
source,bundle,assets/aa/Android/06b93cb45dba639983727bf4701e1b5c.bundle,Sprite,1
source,bundle,assets/aa/Android/06b93cb45dba639983727bf4701e1b5c.bundle,Texture2D,1
source,bundle,assets/aa/Android/06ba21e29e889de5276879dfeab60c94.bundle,AssetBundle,1
source,bundle,assets/aa/Android/06ba21e29e889de5276879dfeab60c94.bundle,Sprite,1
source,bundle,assets/aa/Android/06ba21e29e889de5276879dfeab60c94.bundle,Texture2D,1
