assetPath,characterId,characterName,searchStrings,packId,versionFrom,uncapVersionFrom,assetRole,variant,variantRaw,width,height,format,metadataSource,evidence,confidence,publicArchiveSuitability
assets/char/86_icon.png,86,hikari_clear,"[""光＆エル・クリア"",""光 & 克莱尔"",""光 & 克萊爾"",""ひかりえるくりあ"",""히카리 엘 클리어""]",djmax,0.0.0,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/86_icon.png,Confirmed,Medium
assets/char/86_mp.png,86,hikari_clear,"[""光＆エル・クリア"",""光 & 克莱尔"",""光 & 克萊爾"",""ひかりえるくりあ"",""히카리 엘 클리어""]",djmax,0.0.0,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/86_mp.png,High,Medium
assets/char/86a_mp.png,86,hikari_clear,"[""光＆エル・クリア"",""光 & 克莱尔"",""光 & 克萊爾"",""ひかりえるくりあ"",""히카리 엘 클리어""]",djmax,0.0.0,,linkplay-character-preview,multiplayer,a_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/86a_mp.png,High,Medium
assets/char/87_icon.png,87,tairitsu_fail,"[""対立＆エル・フェイル"",""对立 & 菲尔"",""對立 & 菲爾"",""たいりつえるふぇいる"",""타이리츠 엘 페일""]",djmax,0.0.0,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/87_icon.png,Confirmed,Medium
assets/char/87_mp.png,87,tairitsu_fail,"[""対立＆エル・フェイル"",""对立 & 菲尔"",""對立 & 菲爾"",""たいりつえるふぇいる"",""타이리츠 엘 페일""]",djmax,0.0.0,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/87_mp.png,High,Medium
assets/char/87a_mp.png,87,tairitsu_fail,"[""対立＆エル・フェイル"",""对立 & 菲尔"",""對立 & 菲爾"",""たいりつえるふぇいる"",""타이리츠 엘 페일""]",djmax,0.0.0,,linkplay-character-preview,multiplayer,a_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/87a_mp.png,High,Medium
assets/char/88_icon.png,88,nami_sui,"[""奈実＆スイ"",""奈美 & 希依"",""なみよいやみすい"",""よいやみなみすい"",""나미 스이 황혼"",""황혼 나미 스이""]",djmax_append_1,0.0.0,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/88_icon.png,Confirmed,Medium
assets/char/88_mp.png,88,nami_sui,"[""奈実＆スイ"",""奈美 & 希依"",""なみよいやみすい"",""よいやみなみすい"",""나미 스이 황혼"",""황혼 나미 스이""]",djmax_append_1,0.0.0,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/88_mp.png,High,Medium
assets/char/88a_mp.png,88,nami_sui,"[""奈実＆スイ"",""奈美 & 希依"",""なみよいやみすい"",""よいやみなみすい"",""나미 스이 황혼"",""황혼 나미 스이""]",djmax_append_1,0.0.0,,linkplay-character-preview,multiplayer,a_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/88a_mp.png,High,Medium
assets/char/89_icon.png,89,nonoka,"[""野乃香"",""ののかあずーる"",""あずーるののか"",""아쥬르 노노카"",""노노카 아쥬르"",""아주르 노노카"",""노노카 아주르""]",anima,0.0.0,0.0.0,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/89_icon.png,Confirmed,Medium
assets/char/89_mp.png,89,nonoka,"[""野乃香"",""ののかあずーる"",""あずーるののか"",""아쥬르 노노카"",""노노카 아쥬르"",""아주르 노노카"",""노노카 아주르""]",anima,0.0.0,0.0.0,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/89_mp.png,High,Medium
assets/char/89u_icon.png,89,nonoka,"[""野乃香"",""ののかあずーる"",""あずーるののか"",""아쥬르 노노카"",""노노카 아쥬르"",""아주르 노노카"",""노노카 아주르""]",anima,0.0.0,0.0.0,character-avatar-icon,icon,u_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/89u_icon.png,Confirmed,Medium
assets/char/89u_mp.png,89,nonoka,"[""野乃香"",""ののかあずーる"",""あずーるののか"",""아쥬르 노노카"",""노노카 아쥬르"",""아주르 노노카"",""노노카 아주르""]",anima,0.0.0,0.0.0,linkplay-character-preview,multiplayer,u_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/89u_mp.png,High,Medium
assets/char/8_icon.png,8,stella,"[""ステラ"",""星"",""스텔라""]",,0.0.0,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/8_icon.png,Confirmed,Medium
assets/char/8_mp.png,8,stella,"[""ステラ"",""星"",""스텔라""]",,0.0.0,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/8_mp.png,High,Medium
assets/char/90_icon.png,90,vita_arc,"[""维塔"",""維塔"",""ゔぃーたわんだらー"",""わんだらーゔぃーた"",""원더러 비타"",""비타 원더러""]",,0.0.0,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/90_icon.png,Confirmed,Medium
assets/char/90_mp.png,90,vita_arc,"[""维塔"",""維塔"",""ゔぃーたわんだらー"",""わんだらーゔぃーた"",""원더러 비타"",""비타 원더러""]",,0.0.0,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/90_mp.png,High,Medium
assets/char/91_icon.png,91,hikari_tairitsu_ans_ost,"[""光と対立"",""光 & 对立"",""光 & 對立"",""ひかりたいりつぶれいくするー"",""ひかりたいりつぶれーくするー"",""ぶれーくするーひかりたいりつ"",""ぶれいくするーひかりたいりつ"",""브레이크스루 히카리 타이리츠"",""히카리 타이리츠 브레이크스루""]",,6.9.7,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/91_icon.png,Confirmed,Medium
assets/char/91_mp.png,91,hikari_tairitsu_ans_ost,"[""光と対立"",""光 & 对立"",""光 & 對立"",""ひかりたいりつぶれいくするー"",""ひかりたいりつぶれーくするー"",""ぶれーくするーひかりたいりつ"",""ぶれいくするーひかりたいりつ"",""브레이크스루 히카리 타이리츠"",""히카리 타이리츠 브레이크스루""]",,6.9.7,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/91_mp.png,High,Medium
assets/char/91a_mp.png,91,hikari_tairitsu_ans_ost,"[""光と対立"",""光 & 对立"",""光 & 對立"",""ひかりたいりつぶれいくするー"",""ひかりたいりつぶれーくするー"",""ぶれーくするーひかりたいりつ"",""ぶれいくするーひかりたいりつ"",""브레이크스루 히카리 타이리츠"",""히카리 타이리츠 브레이크스루""]",,6.9.7,,linkplay-character-preview,multiplayer,a_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/91a_mp.png,High,Medium
assets/char/92_icon.png,92,hikari_tairitsu_debut,"[""光と対立"",""光 & 对立"",""光 & 對立"",""ひかりたいりつでびゅー"",""でびゅーひかりたいりつ"",""데뷔 히카리 타이리츠"",""데뷰 히카리 타이리츠"",""히카리 타이리츠 데뷔"",""히카리 타이리츠 데뷰""]",nextstage,6.10.8,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/92_icon.png,Confirmed,Medium
assets/char/92_mp.png,92,hikari_tairitsu_debut,"[""光と対立"",""光 & 对立"",""光 & 對立"",""ひかりたいりつでびゅー"",""でびゅーひかりたいりつ"",""데뷔 히카리 타이리츠"",""데뷰 히카리 타이리츠"",""히카리 타이리츠 데뷔"",""히카리 타이리츠 데뷰""]",nextstage,6.10.8,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/92_mp.png,High,Medium
assets/char/92a_mp.png,92,hikari_tairitsu_debut,"[""光と対立"",""光 & 对立"",""光 & 對立"",""ひかりたいりつでびゅー"",""でびゅーひかりたいりつ"",""데뷔 히카리 타이리츠"",""데뷰 히카리 타이리츠"",""히카리 타이리츠 데뷔"",""히카리 타이리츠 데뷰""]",nextstage,6.10.8,,linkplay-character-preview,multiplayer,a_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/92a_mp.png,High,Medium
assets/char/93_icon.png,93,viim,"[""ゔぃーむ"",""びーむ"",""ぶいつーえむ"",""ぶいとぅーえむ"",""ぶいあいあいえむ"",""ゔいつーえむ"",""ゔいとぅーえむ"",""ゔぃーつーえむ"",""ゔぃーとぅーえむ"",""ゔぃーあいあいえむ"",""브이 투 엠"",""빔"",""비 아이 아이 엠""]",,6.11.2,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/93_icon.png,Confirmed,Medium
assets/char/93_mp.png,93,viim,"[""ゔぃーむ"",""びーむ"",""ぶいつーえむ"",""ぶいとぅーえむ"",""ぶいあいあいえむ"",""ゔいつーえむ"",""ゔいとぅーえむ"",""ゔぃーつーえむ"",""ゔぃーとぅーえむ"",""ゔぃーあいあいえむ"",""브이 투 엠"",""빔"",""비 아이 아이 엠""]",,6.11.2,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/93_mp.png,High,Medium
assets/char/94_icon.png,94,helena,"[""ヘレナ"",""海琳娜"",""헬레나""]",,6.11.8,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/94_icon.png,Confirmed,Medium
assets/char/94_mp.png,94,helena,"[""ヘレナ"",""海琳娜"",""헬레나""]",,6.11.8,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/94_mp.png,High,Medium
assets/char/95_icon.png,95,yuno,"[""夢乃"",""梦乃"",""ゆの"",""유노""]",,6.11.6,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/95_icon.png,Confirmed,Medium
assets/char/95_mp.png,95,yuno,"[""夢乃"",""梦乃"",""ゆの"",""유노""]",,6.11.6,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/95_mp.png,High,Medium
assets/char/96_icon.png,96,shirahime_flow,"[""白姫"",""しらひめふろー"",""しらひめふろう"",""ふろーしらひめ"",""ふろうしらひめ"",""플로우 시라히메"",""시라히메 플로우""]",megarex,6.12.0,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/96_icon.png,Confirmed,Medium
assets/char/96_mp.png,96,shirahime_flow,"[""白姫"",""しらひめふろー"",""しらひめふろう"",""ふろーしらひめ"",""ふろうしらひめ"",""플로우 시라히메"",""시라히메 플로우""]",megarex,6.12.0,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/96_mp.png,High,Medium
assets/char/99_icon.png,99,shirahime,"[""白姫"",""しらひめ"",""시라히메""]",dividedheart,0.0.0,,character-avatar-icon,icon,_icon,169,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/99_icon.png,Confirmed,Medium
assets/char/99_mp.png,99,shirahime,"[""白姫"",""しらひめ"",""시라히메""]",dividedheart,0.0.0,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/99_mp.png,High,Medium
assets/char/9_icon.png,9,hikari_fisica_quon,"[""光＆フィシカ"",""光 & 菲希卡"",""ひかりふぃしか"",""히카리 피시카""]",lanota,0.0.0,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/9_icon.png,Confirmed,Medium
assets/char/9_mp.png,9,hikari_fisica_quon,"[""光＆フィシカ"",""光 & 菲希卡"",""ひかりふぃしか"",""히카리 피시카""]",lanota,0.0.0,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/9_mp.png,High,Medium
assets/char/9a_mp.png,9,hikari_fisica_quon,"[""光＆フィシカ"",""光 & 菲希卡"",""ひかりふぃしか"",""히카리 피시카""]",lanota,0.0.0,,linkplay-character-preview,multiplayer,a_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/9a_mp.png,High,Medium
assets/char/unknown_icon.png,,,[],,,,unresolved-character-art,base,,169,170,PNG,path-only,assets/char/unknown_icon.png,Low,Low
assets/char/1080/97.png,97,saya_konzetsu,"[""サヤ"",""咲弥"",""咲彌"",""사야"",""さやあぶそりゅーしょん"",""あぶそりゅーしょんさや""]",konzetsu,7.0.0,,character-main-art,base,,1800,1800,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/1080/97.png,Confirmed,High
assets/char/97_icon.png,97,saya_konzetsu,"[""サヤ"",""咲弥"",""咲彌"",""사야"",""さやあぶそりゅーしょん"",""あぶそりゅーしょんさや""]",konzetsu,7.0.0,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/97_icon.png,Confirmed,Medium
assets/char/97_mp.png,97,saya_konzetsu,"[""サヤ"",""咲弥"",""咲彌"",""사야"",""さやあぶそりゅーしょん"",""あぶそりゅーしょんさや""]",konzetsu,7.0.0,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/97_mp.png,High,Medium
assets/char/1080/98.png,98,insight_konzetsu,"[""Lacrymira"",""Insight"",""識眼"",""洞烛"",""洞燭"",""ラクリミラ"",""拉可弥拉"",""拉可彌拉"",""라크리미라"",""혜안"",""しきがんぬりふぁいど"",""ぬりふぁいどしきがん"",""ぬりふぁいどらくみりら"",""らくみりらぬりふぁいど""]",konzetsu,8.0.0,,character-main-art,base,,1800,1800,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/1080/98.png,Confirmed,High
assets/char/98_icon.png,98,insight_konzetsu,"[""Lacrymira"",""Insight"",""識眼"",""洞烛"",""洞燭"",""ラクリミラ"",""拉可弥拉"",""拉可彌拉"",""라크리미라"",""혜안"",""しきがんぬりふぁいど"",""ぬりふぁいどしきがん"",""ぬりふぁいどらくみりら"",""らくみりらぬりふぁいど""]",konzetsu,8.0.0,,character-avatar-icon,icon,_icon,170,170,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/98_icon.png,Confirmed,Medium
assets/char/98_mp.png,98,insight_konzetsu,"[""Lacrymira"",""Insight"",""識眼"",""洞烛"",""洞燭"",""ラクリミラ"",""拉可弥拉"",""拉可彌拉"",""라크리미라"",""혜안"",""しきがんぬりふぁいど"",""ぬりふぁいどしきがん"",""ぬりふぁいどらくみりら"",""らくみりらぬりふぁいど""]",konzetsu,8.0.0,,linkplay-character-preview,multiplayer,_mp,895,873,PNG,assets/char/characters.json,assets/char/characters.json + assets/char/98_mp.png,High,Medium
