trackFolder,trackPath,trackKey,sourceTitle,sourceArtist,IllustrationPath,IllustrationSourceBundlePath,coverageStatus,catalogResourceIds,catalogMatchStatuses,canonicalResourceId,evidence
SIGMA.Kryexe.0,Assets/Tracks/SIGMA.Kryexe.0/,Assets/Tracks/SIGMA.Kryexe.0/Illustration.jpg,SIGMA,Kryexe,Assets/Tracks/SIGMA.Kryexe.0/Illustration.jpg,assets/aa/Android/c81528bd91fecbdd441a0eafedf520a2.bundle,covered,01a00093-8b75-7b9b-b3c2-a868a48b8c38,high,01a00093-8b75-7b9b-b3c2-a868a48b8c38,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
SURREALISM.Itsuki.0,Assets/Tracks/SURREALISM.Itsuki.0/,Assets/Tracks/SURREALISM.Itsuki.0/Illustration.jpg,SURREALISM,Itsuki,Assets/Tracks/SURREALISM.Itsuki.0/Illustration.jpg,assets/aa/Android/333b3f63fc16504d7969fc05b25f7c5c.bundle,covered,01a00092-9c95-7509-a581-b8e93ffe53ef,high,01a00092-9c95-7509-a581-b8e93ffe53ef,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Schadenfreude.ZxNX.0,Assets/Tracks/Schadenfreude.ZxNX.0/,Assets/Tracks/Schadenfreude.ZxNX.0/Illustration.jpg,Schadenfreude,ZxNX,Assets/Tracks/Schadenfreude.ZxNX.0/Illustration.jpg,assets/aa/Android/401aefe8840aebc15c2e70afbd93b2f9.bundle,covered,01a00093-8571-7bba-8366-6b662736c084,high,01a00093-8571-7bba-8366-6b662736c084,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
SecretIllumination.Yooh.0,Assets/Tracks/SecretIllumination.Yooh.0/,Assets/Tracks/SecretIllumination.Yooh.0/Illustration.jpg,SecretIllumination,Yooh,Assets/Tracks/SecretIllumination.Yooh.0/Illustration.jpg,assets/aa/Android/4daed58b81c741fc581f165e7812921a.bundle,covered,01a00093-865b-7ce5-9781-8fdbfdcc0362,high,01a00093-865b-7ce5-9781-8fdbfdcc0362,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Sein.朔Apo11oprogramvsお月さま交響曲ftkuroa荒巻.0,Assets/Tracks/Sein.朔Apo11oprogramvsお月さま交響曲ftkuroa荒巻.0/,Assets/Tracks/Sein.朔Apo11oprogramvsお月さま交響曲ftkuroa荒巻.0/Illustration.jpg,Sein,朔Apo11oprogramvsお月さま交響曲ftkuroa荒巻,Assets/Tracks/Sein.朔Apo11oprogramvsお月さま交響曲ftkuroa荒巻.0/Illustration.jpg,assets/aa/Android/c3390d8c6230c4d3fd1cf52a7ee6ae2b.bundle,covered,01a00093-875a-7b3b-812b-96cad95bcec0,high,01a00093-875a-7b3b-812b-96cad95bcec0,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Shadow.SumaiLightvs姜米條.0,Assets/Tracks/Shadow.SumaiLightvs姜米條.0/,Assets/Tracks/Shadow.SumaiLightvs姜米條.0/Illustration.jpg,Shadow,SumaiLightvs姜米條,Assets/Tracks/Shadow.SumaiLightvs姜米條.0/Illustration.jpg,assets/aa/Android/f672e47305d5b94d4fe231b061fd54cf.bundle,covered,01a00093-8880-721c-a0a5-31cd11d78b2f,high,01a00093-8880-721c-a0a5-31cd11d78b2f,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
Shelter.MeatyRabbitNceS.0,Assets/Tracks/Shelter.MeatyRabbitNceS.0/,Assets/Tracks/Shelter.MeatyRabbitNceS.0/Illustration.jpg,Shelter,MeatyRabbitNceS,Assets/Tracks/Shelter.MeatyRabbitNceS.0/Illustration.jpg,assets/aa/Android/118e23ecd7b5f9c6eea6ab2b06034d72.bundle,covered,01a00093-8976-7106-8b22-b10c9d0b02d9,high,01a00093-8976-7106-8b22-b10c9d0b02d9,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
ShineAfter.ADeanJocularACE.0,Assets/Tracks/ShineAfter.ADeanJocularACE.0/,Assets/Tracks/ShineAfter.ADeanJocularACE.0/Illustration.jpg,ShineAfter,ADeanJocularACE,Assets/Tracks/ShineAfter.ADeanJocularACE.0/Illustration.jpg,assets/aa/Android/a0794cfa95e821a7c3c36f23851d4c29.bundle,covered,01a00093-8a7c-79b3-baa1-987e922fc2e7,high,01a00093-8a7c-79b3-baa1-987e922fc2e7,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
SilenceisGoldenSpeechisGolden.NIWASHI.0,Assets/Tracks/SilenceisGoldenSpeechisGolden.NIWASHI.0/,Assets/Tracks/SilenceisGoldenSpeechisGolden.NIWASHI.0/Illustration.jpg,SilenceisGoldenSpeechisGolden,NIWASHI,Assets/Tracks/SilenceisGoldenSpeechisGolden.NIWASHI.0/Illustration.jpg,assets/aa/Android/ee705da4975121a26ec0e295f05fcced.bundle,covered,01a00093-8c54-7e05-82a2-9d41fc1ee715,high,01a00093-8c54-7e05-82a2-9d41fc1ee715,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
SnowDance.悠叶いのり.0,Assets/Tracks/SnowDance.悠叶いのり.0/,Assets/Tracks/SnowDance.悠叶いのり.0/Illustration.jpg,SnowDance,悠叶いのり,Assets/Tracks/SnowDance.悠叶いのり.0/Illustration.jpg,assets/aa/Android/865e18eb83b3bc03d38cebd6b7001927.bundle,covered,01a00093-8d7e-7622-b3c3-38083d17c732,confirmed,01a00093-8d7e-7622-b3c3-38083d17c732,current APK primary Illustration slot; candidate Catalog rows=1; strong=1
