path,fileCount,totalSizeBytes,totalCompressedSizeBytes
assets/songs/dl_einherjar,5,1114754,1114754
assets/songs/dl_empireofwinter,3,846687,846687
assets/songs/dl_enchantedlove,3,565519,565519
assets/songs/dl_endmoonlight,3,751967,751967
assets/songs/dl_energysynergymatrix,3,723157,723157
assets/songs/dl_epitaxy,3,787326,787326
assets/songs/dl_equilibrium,3,745207,745207
assets/songs/dl_espebranch,3,986496,986496
assets/songs/dl_essenceoftwilight,3,568165,568165
assets/songs/dl_eternitybreak,3,858671,858671
assets/songs/dl_etherstrike,3,877949,877949
assets/songs/dl_eveninginscarlet,3,926194,926194
assets/songs/dl_evoltex,3,897516,897516
assets/songs/dl_extradimensional,3,1088590,1088590
assets/songs/dl_factorder,3,1049009,1049009
assets/songs/dl_faintlight,3,712814,712814
assets/songs/dl_fallensquare,3,546186,546186
assets/songs/dl_fantasy,3,758170,758170
assets/songs/dl_farawaylight,3,860678,860678
assets/songs/dl_feelssoright,3,680905,680905
assets/songs/dl_felis,3,842923,842923
assets/songs/dl_felys,3,725799,725799
assets/songs/dl_filament,3,775839,775839
assets/songs/dl_finalstep,3,664690,664690
assets/songs/dl_firstsnow,3,803600,803600
assets/songs/dl_flashback,3,648119,648119
assets/songs/dl_flexidefine,3,1272205,1272205
assets/songs/dl_floatingworld,3,852624,852624
assets/songs/dl_fluffyflash,3,801130,801130
assets/songs/dl_flyburg,3,1341447,1341447
assets/songs/dl_fractureray,3,1252491,1252491
assets/songs/dl_freefall,5,1385075,1385075
assets/songs/dl_freemyself,3,856256,856256
assets/songs/dl_furetemitai,3,1198876,1198876
assets/songs/dl_galacticlove,3,895605,895605
assets/songs/dl_galaxyfriends,3,903300,903300
assets/songs/dl_garakuta,3,845539,845539
assets/songs/dl_gekka,3,632007,632007
assets/songs/dl_genesis,3,657410,657410
assets/songs/dl_genesischunithm,3,835149,835149
assets/songs/dl_gengaozo,3,650156,650156
assets/songs/dl_genocider,3,838395,838395
assets/songs/dl_gensounosatellite,3,765128,765128
assets/songs/dl_gimmedablood,3,735407,735407
assets/songs/dl_gimmick,3,569368,569368
assets/songs/dl_givemeanightmare,3,942425,942425
assets/songs/dl_gloryroad,3,794107,794107
assets/songs/dl_glow,3,690302,690302
assets/songs/dl_goldenslaughterer,3,771838,771838
assets/songs/dl_goodbyemerry,3,659085,659085
assets/songs/dl_goodrage,3,1036484,1036484
assets/songs/dl_goodtek,5,1191392,1191392
assets/songs/dl_gothiveofra,3,670365,670365
assets/songs/dl_gou,3,928416,928416
assets/songs/dl_grandspell,3,1310042,1310042
assets/songs/dl_grievouslady,3,817055,817055
assets/songs/dl_guardina,3,819148,819148
assets/songs/dl_hailstone,3,845567,845567
assets/songs/dl_halcyon,3,756463,756463
assets/songs/dl_hallofmirrors,3,752240,752240
assets/songs/dl_harutopia,3,544483,544483
assets/songs/dl_headbonkache,3,1207655,1207655
assets/songs/dl_hearditsaid,3,795599,795599
assets/songs/dl_heartache,3,587524,587524
assets/songs/dl_heartjackin,3,766934,766934
assets/songs/dl_heavenlycaress,5,1181394,1181394
assets/songs/dl_heavensdoor,5,914154,914154
assets/songs/dl_hellohell,3,867320,867320
assets/songs/dl_hiirogekka,3,682031,682031
assets/songs/dl_hikari,3,807528,807528
assets/songs/dl_hivemind,3,771087,771087
assets/songs/dl_hotarubinoyuki,3,824196,824196
assets/songs/dl_hybris,3,1031216,1031216
assets/songs/dl_hypervision,3,805125,805125
assets/songs/dl_hypnotize,3,796754,796754
assets/songs/dl_ichirin,3,653915,653915
assets/songs/dl_iconoclast,3,804231,804231
