assetPath,basename,assetRole,width,height,format,evidence,confidence,publicArchiveSuitability
assets/img/world/4_d.png,4_d,world-map-decoration-candidate,543,545,PNG,assets/img/world/4_d.png,Medium,Low
assets/img/world/4_t.png,4_t,world-map-tile-candidate,700,167,PNG,assets/img/world/4_t.png,Medium,Low
assets/img/world/5_b.jpg,5_b,world-map-background-candidate,1280,960,JPEG,assets/img/world/5_b.jpg,Medium,Low
assets/img/world/5_d.png,5_d,world-map-decoration-candidate,543,545,PNG,assets/img/world/5_d.png,Medium,Low
assets/img/world/5_t.png,5_t,world-map-tile-candidate,940,167,PNG,assets/img/world/5_t.png,Medium,Low
assets/img/world/6_b.jpg,6_b,world-map-background-candidate,1280,960,JPEG,assets/img/world/6_b.jpg,Medium,Low
assets/img/world/6_d.png,6_d,world-map-decoration-candidate,543,545,PNG,assets/img/world/6_d.png,Medium,Low
assets/img/world/6_t.png,6_t,world-map-tile-candidate,940,167,PNG,assets/img/world/6_t.png,Medium,Low
assets/img/world/7_b.jpg,7_b,world-map-background-candidate,1280,960,JPEG,assets/img/world/7_b.jpg,Medium,Low
assets/img/world/7_d.png,7_d,world-map-decoration-candidate,543,545,PNG,assets/img/world/7_d.png,Medium,Low
assets/img/world/7_t.png,7_t,world-map-tile-candidate,940,167,PNG,assets/img/world/7_t.png,Medium,Low
assets/img/world/8_b.jpg,8_b,world-map-background-candidate,1280,960,JPEG,assets/img/world/8_b.jpg,Medium,Low
assets/img/world/8_d.png,8_d,world-map-decoration-candidate,543,545,PNG,assets/img/world/8_d.png,Medium,Low
assets/img/world/8_t.png,8_t,world-map-tile-candidate,810,167,PNG,assets/img/world/8_t.png,Medium,Low
assets/img/world/8_t_shadow.png,8_t_shadow,world-mode-ui-or-effect,1072,252,PNG,assets/img/world/8_t_shadow.png,Low,Low
assets/img/world/9_b.jpg,9_b,world-map-background-candidate,1280,960,JPEG,assets/img/world/9_b.jpg,Medium,Low
assets/img/world/9_d.png,9_d,world-map-decoration-candidate,543,545,PNG,assets/img/world/9_d.png,Medium,Low
assets/img/world/9_t.png,9_t,world-map-tile-candidate,940,167,PNG,assets/img/world/9_t.png,Medium,Low
assets/img/world/beyond-boost-song-select-diamond.png,beyond-boost-song-select-diamond,world-mode-ui-or-effect,53,53,PNG,assets/img/world/beyond-boost-song-select-diamond.png,Low,Low
assets/img/world/beyond-boost-tray-backing.png,beyond-boost-tray-backing,world-mode-ui-or-effect,62,219,PNG,assets/img/world/beyond-boost-tray-backing.png,Low,Low
assets/img/world/beyond-boost-tray-closed.png,beyond-boost-tray-closed,world-mode-ui-or-effect,63,145,PNG,assets/img/world/beyond-boost-tray-closed.png,Low,Low
assets/img/world/beyond-boost-tray-closed_pressed.png,beyond-boost-tray-closed_pressed,world-mode-ui-or-effect,63,145,PNG,assets/img/world/beyond-boost-tray-closed_pressed.png,Low,Low
assets/img/world/beyond-boost-tray-open.png,beyond-boost-tray-open,world-mode-ui-or-effect,63,145,PNG,assets/img/world/beyond-boost-tray-open.png,Low,Low
assets/img/world/beyond-boost-tray-open_pressed.png,beyond-boost-tray-open_pressed,world-mode-ui-or-effect,63,145,PNG,assets/img/world/beyond-boost-tray-open_pressed.png,Low,Low
assets/img/world/beyond_glow.png,beyond_glow,world-mode-ui-or-effect,2342,302,PNG,assets/img/world/beyond_glow.png,Low,Low
assets/img/world/beyond_overlay.png,beyond_overlay,world-mode-ui-or-effect,1569,921,PNG,assets/img/world/beyond_overlay.png,Low,Low
assets/img/world/bg_glow.png,bg_glow,world-mode-ui-or-effect,1,419,PNG,assets/img/world/bg_glow.png,Low,Low
assets/img/world/bg_glow_8.png,bg_glow_8,world-mode-ui-or-effect,1920,500,PNG,assets/img/world/bg_glow_8.png,Low,Low
