sourcePath,sourceFile,unityVersion,pathId,name,difficulty,errorVariant,catalogKeys,formatVersion,offset,judgeLineCount,noteCount,bpms,textBytes,readError
assets/aa/Android/92311b623cb236cd17f2b016f4ebce85.bundle,92311b623cb236cd17f2b016f4ebce85.bundle,2022.3.62f2,7033993974782960886,Chart_HD,HD,,26810a2f7aaf54cf8a04f665e0065e77;Assets/Tracks/SURREALISM.Itsuki.0/Chart_HD.json,3,0.0,9,571,180.0,1529446,
assets/aa/Android/9245091c887c131252fd04bb5cf2a6d6.bundle,9245091c887c131252fd04bb5cf2a6d6.bundle,2022.3.62f2,4690811336278109554,Chart_EZ,EZ,,13ed8d7a4d262fb44a5e103809029321;Assets/Tracks/Bougainvillea.Jade.0/Chart_EZ.json,3,0.0,4,300,120.0,331134,
assets/aa/Android/927007ccdace948254ae032189e7cfd7.bundle,927007ccdace948254ae032189e7cfd7.bundle,2022.3.62f2,-6348025354893968197,Chart_HD,HD,,Assets/Tracks/GetBack.CAP3.0/Chart_HD.json;fe496d3a9ce501d45880bb5099d5eebc,3,0.0,2,550,128.0,95058,
assets/aa/Android/92d804e22bad38b17a805f78ab9b3fa8.bundle,92d804e22bad38b17a805f78ab9b3fa8.bundle,2022.3.62f2,8492804028830004643,Chart_HD,HD,,710a76a1c48ae8d4296eaab8db27659a;Assets/Tracks/FlutterEcho.Cansol.0/Chart_HD.json,3,0.0,20,555,219.0,1396469,
assets/aa/Android/932e80a1a477d6f2d7d76771ca25e9ef.bundle,932e80a1a477d6f2d7d76771ca25e9ef.bundle,2022.3.62f2,-2636065921902432890,Chart_HD,HD,,9516a73b5a91d014185acada313b1b35;Assets/Tracks/PixelRebelz.Normal1zer.0/Chart_HD.json,3,0.0,6,505,150.0,714341,
assets/aa/Android/9435382fc08298ae7f2aecc9d958246f.bundle,9435382fc08298ae7f2aecc9d958246f.bundle,2022.3.62f2,-3048613225153572036,Chart_IN,IN,,Assets/Tracks/AnotherRound.JustinDai.0/Chart_IN.json;bd28dc41100027d41bac95c363dee656,3,0.0,24,505,128.0,4120397,
assets/aa/Android/9463da05fa3d039dec2ecd21609825e0.bundle,9463da05fa3d039dec2ecd21609825e0.bundle,2022.3.62f2,-8616751664615231970,Chart_EZ,EZ,,Assets/Tracks/KIZUNAResolution.TAG.0/Chart_EZ.json;e48247bd17658674d985a1b7855b8379,3,0.0,11,262,240.0,3934044,
assets/aa/Android/948746513d93b8f5ac3cd6a8f6331ac7.bundle,948746513d93b8f5ac3cd6a8f6331ac7.bundle,2022.3.62f2,-7357270598704426480,Chart_HD,HD,,Assets/Tracks/Reimei.影虎.0/Chart_HD.json;be2219fda13174f5b917553ca0df8516,3,0.245518,2,644,185.0,125511,
assets/aa/Android/9510c092ad7063012456b3651b5ee0cf.bundle,9510c092ad7063012456b3651b5ee0cf.bundle,2022.3.62f2,7823534037491294405,Chart_EZ,EZ,,3030e3bf3acb26c498d269860cfd4104;Assets/Tracks/bye.DingerBox.0/Chart_EZ.json,3,0.0,8,186,160.0,769462,
assets/aa/Android/954411ef8127202a9310c247d98ee55b.bundle,954411ef8127202a9310c247d98ee55b.bundle,2022.3.62f2,-7705843307187835185,Chart_IN,IN,,Assets/Tracks/HardcoreKwaya.EnFr.0/Chart_IN.json;fe9c1ee5e62c1a246b3a2507ea3739f7,3,0.0,24,852,200.0,1280573,
assets/aa/Android/956a70254501f3d86b1204472aebf1b0.bundle,956a70254501f3d86b1204472aebf1b0.bundle,2022.3.62f2,3254081180302473023,Chart_AT,AT,,2c3327c7b7687c54abd27705686eb946;Assets/Tracks/ERABYECONNEC10N.かめりあ.0/Chart_AT.json,3,0.0,24,1579,230.0,8741497,
assets/aa/Android/95828b238d02d0512cffa4ef513ecfda.bundle,95828b238d02d0512cffa4ef513ecfda.bundle,2022.3.62f2,-6587464879971570786,Chart_HD,HD,,Assets/Tracks/ManifoldHypothesis.cybermisofeattigerlily.0/Chart_HD.json;ce756318ba660ad4198201e5ae4949c6,3,0.0,15,401,174.0,3423717,
assets/aa/Android/95ae329ebec95128b3c78eb31ef3fe91.bundle,95ae329ebec95128b3c78eb31ef3fe91.bundle,2022.3.62f2,-8852105134423964374,Chart_HD,HD,,Assets/Tracks/インマイマインド.レシオP.0/Chart_HD.json;e25e7a6de76300542a3200aa2688c10c,3,0.0,19,479,155.0,1290096,
assets/aa/Android/962613f32f46780bedae19fd9f7c61f9.bundle,962613f32f46780bedae19fd9f7c61f9.bundle,2022.3.62f2,6627959798787967928,Chart_EZ,EZ,,2fda9c0270988b04d82cfc5beb16eb56;Assets/Tracks/GOODBOUNCE.EBIMAYO.0/Chart_EZ.json,3,0.0,2,588,180.0,154742,
assets/aa/Android/96a8fb07f12fb1ce2e4ca4c033069876.bundle,96a8fb07f12fb1ce2e4ca4c033069876.bundle,2022.3.62f2,3449409774968484883,Chart_EZ,EZ,,99fb30ecd447aa04f812a86fb10ff1c0;Assets/Tracks/Cleyera.Riya.0/Chart_EZ.json,3,0.0,23,338,191.0,2945097,
assets/aa/Android/96c541fb40d8d076082c39018914c515.bundle,96c541fb40d8d076082c39018914c515.bundle,2022.3.62f2,8880129660027049425,Chart_IN,IN,,6aed946eaac9e4c44b5968386d9e8ae9;Assets/Tracks/mechanted.rareguy.0/Chart_IN.json,1,0.0,8,662,172.0,1235056,
assets/aa/Android/970fdf061375abe9fadc129d7e686797.bundle,970fdf061375abe9fadc129d7e686797.bundle,2022.3.62f2,6093775550884685446,Chart_HD,HD,,Assets/Tracks/千紫万紅.r0yvsWABI.0/Chart_HD.json;f86fd9b77a5aa104c85a30ded361df29,3,0.0,21,779,203.0,2314200,
assets/aa/Android/972f2083866c30a726fb4cbf81a0d6ff.bundle,972f2083866c30a726fb4cbf81a0d6ff.bundle,2022.3.62f2,7125565838586714770,Chart_HD,HD,,69a2ffce00634465db980d9d9daf5fcc;Assets/Tracks/mechanted.rareguy.0/Chart_HD.json,1,0.0,3,500,172.0,291679,
assets/aa/Android/9793c6190a9278e4416ef04015494aaa.bundle,9793c6190a9278e4416ef04015494aaa.bundle,2022.3.62f2,-3532936926262652615,Chart_EZ,EZ,,33a924fb31ffc014583e3132b547002a;Assets/Tracks/心の記憶.A39沙包P.0/Chart_EZ.json,3,0.0,9,311,150.0,4599429,
assets/aa/Android/97f0899d3234c92a5480cc54d0bcbc6b.bundle,97f0899d3234c92a5480cc54d0bcbc6b.bundle,2022.3.62f2,8339342798484047703,Chart_HD,HD,,Assets/Tracks/夢の降る日に.seatrus.0/Chart_HD.json;c2bca461b1ccfec46879548355624cb9,3,0.0,18,455,260.0,3058388,
assets/aa/Android/98291233d642eac2da66e5683b4ec8a0.bundle,98291233d642eac2da66e5683b4ec8a0.bundle,2022.3.62f2,-563217051603536785,Chart_AT,AT,,Assets/Tracks/BreakOver.Kforest.0/Chart_AT.json;f58584a1b60704f4096c79188a4dc353,3,0.0,24,570,185.0,3762210,
assets/aa/Android/9846ea3a2a0dd9d20680d4563795d46a.bundle,9846ea3a2a0dd9d20680d4563795d46a.bundle,2022.3.62f2,-7088369607893757207,Chart_IN,IN,,Assets/Tracks/ManifoldHypothesis.cybermisofeattigerlily.0/Chart_IN.json;ce52e0107f248b44d94d9c2aa25b001a,3,0.0,24,895,174.0,3430620,
assets/aa/Android/98d9bafa82d0c10fd8aa4df076d18cd1.bundle,98d9bafa82d0c10fd8aa4df076d18cd1.bundle,2022.3.62f2,3088896679476477046,Chart_IN,IN,,Assets/Tracks/GetBack.CAP3.0/Chart_IN.json;bc72523cc8304ed498df6b9f01899e04,3,0.0,6,708,128.0,1467306,
assets/aa/Android/98e66f128c610f58f5403805468149a8.bundle,98e66f128c610f58f5403805468149a8.bundle,2022.3.62f2,7897550616847737967,Chart_HD,HD,,Assets/Tracks/HAZARD.Limpid.0/Chart_HD.json;d18d8ded94582384bac99e44ece3a120,3,0.0,18,507,128.0,1471969,
assets/aa/Android/99168f9653085db15418e054c3798a48.bundle,99168f9653085db15418e054c3798a48.bundle,2022.3.62f2,-4333443702504529872,Chart_IN,IN,,4b606308fa40e4b4bab338604267bff5;Assets/Tracks/FULiAUTOSHOOTER.MYUKKE.0/Chart_IN.json,3,0.0,4,843,145.0,146736,
assets/aa/Android/9955627b896a142b8ab955ff9593f4bf.bundle,9955627b896a142b8ab955ff9593f4bf.bundle,2022.3.62f2,-7092981797610180307,Chart_HD,HD,,Assets/Tracks/BreakThroughTheBarrier.lixound.0/Chart_HD.json;b1d86cd1c65dc41edb83230aaa0a4e32,3,0.0,4,581,176.0,880822,
assets/aa/Android/997fdfa7837d7b509623ce0848c05088.bundle,997fdfa7837d7b509623ce0848c05088.bundle,2022.3.62f2,-2700069172630329510,Chart_EZ,EZ,,Assets/Tracks/祈-我ら神祖と共に歩む者なり-.光吉猛修VS穴山大輔VSKaiVS水野健治VS大国奏音.0/Chart_EZ.json;e4421becf40a3e3449bb49140743d09d,3,0.0,15,666,152.0;168.75;188.0;219.0,4260241,
assets/aa/Android/99cc6dc098f0da8365941bae0f3cf63a.bundle,99cc6dc098f0da8365941bae0f3cf63a.bundle,2022.3.62f2,-2851073785535263356,Chart_IN,IN,,66996abbec9242c4fbd79f728b9229db;Assets/Tracks/ぱぴぷぴぷぴぱ.ころねぽちWith立秋.0/Chart_IN.json,3,0.0,15,1243,200.0,6661519,
assets/aa/Android/9a12227d2d7f01eb4a39b7d84c91e878.bundle,9a12227d2d7f01eb4a39b7d84c91e878.bundle,2022.3.62f2,4203598616850015994,Chart_IN,IN,,Assets/Tracks/SolaggyfeatUzumaki.ShrimpCatsはぁち後藤涼輔.0/Chart_IN.json;c4191fb64377f2a47937a96487dbdf49,3,0.0,24,825,180.0,4478238,
assets/aa/Android/9a69e5bb364390ee30f57bb533283366.bundle,9a69e5bb364390ee30f57bb533283366.bundle,2022.3.62f2,-618133179093412448,Chart_HD,HD,,Assets/Tracks/GOODRAGE.EBIMAYO.0/Chart_HD.json;f6de94276ebbc4c4d990f4ae173b92ed,3,0.0,3,628,222.0,162080,
