coverName,key,bundle,assetTypes,sourceFile,objectName,width,height,format
LanotaBlur,Assets/Tracks/#ChapterCover/LanotaBlur.jpg,39ad96177ef123e22681b51a113de09b.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,39ad96177ef123e22681b51a113de09b.bundle,LanotaBlur,1024,540,3
Liminality,Assets/Tracks/#ChapterCover/Liminality.jpg,671fd2daf8d907acd3d5cffffc319e23.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,671fd2daf8d907acd3d5cffffc319e23.bundle,Liminality,1024,540,3
LiminalityBlur,Assets/Tracks/#ChapterCover/LiminalityBlur.jpg,3c8f9e5b6285582b21cd5001a1bdc9fc.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,3c8f9e5b6285582b21cd5001a1bdc9fc.bundle,LiminalityBlur,1024,540,3
MUSEDASH,Assets/Tracks/#ChapterCover/MUSEDASH.jpg,39eeeb02e9d1079f8a398aca9bbdad62.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,39eeeb02e9d1079f8a398aca9bbdad62.bundle,MUSEDASH,1024,540,3
MUSEDASHBlur,Assets/Tracks/#ChapterCover/MUSEDASHBlur.jpg,e31d798a000e6780ff2819a85f3ea57a.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,e31d798a000e6780ff2819a85f3ea57a.bundle,MUSEDASHBlur,1024,540,3
Maimai,Assets/Tracks/#ChapterCover/Maimai.jpg,3400f850c434b9c6b5c6d74255ac2a2a.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,3400f850c434b9c6b5c6d74255ac2a2a.bundle,Maimai,1024,540,3
MaimaiBlur,Assets/Tracks/#ChapterCover/MaimaiBlur.jpg,0e11afa8faaf0119cc073a1727ac6815.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,0e11afa8faaf0119cc073a1727ac6815.bundle,MaimaiBlur,1024,540,3
MainStory4,Assets/Tracks/#ChapterCover/MainStory4.jpg,6772c1bbe35e31b7563a66f0cff2c157.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,6772c1bbe35e31b7563a66f0cff2c157.bundle,MainStory4,1024,540,3
MainStory4Blur,Assets/Tracks/#ChapterCover/MainStory4Blur.jpg,141f43c980a333e7737bc8a5869875e8.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,141f43c980a333e7737bc8a5869875e8.bundle,MainStory4Blur,1024,540,3
MainStory5,Assets/Tracks/#ChapterCover/MainStory5.jpg,484fe6fadd273a96ccf7b2fd19aa33bd.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,484fe6fadd273a96ccf7b2fd19aa33bd.bundle,MainStory5,1024,540,3
MainStory5Blur,Assets/Tracks/#ChapterCover/MainStory5Blur.jpg,5dffceca85e8a00b1d8727eb7c3912a7.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,5dffceca85e8a00b1d8727eb7c3912a7.bundle,MainStory5Blur,1024,540,3
MainStory5Locked,Assets/Tracks/#ChapterCover/MainStory5Locked.jpg,fd4fcdf4a7a043550ee127b129557e2f.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,fd4fcdf4a7a043550ee127b129557e2f.bundle,MainStory5Locked,1024,540,3
MainStory5LockedBlur,Assets/Tracks/#ChapterCover/MainStory5LockedBlur.jpg,98c5cfb8f531b9d9342af4d46cc82659.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,98c5cfb8f531b9d9342af4d46cc82659.bundle,MainStory5LockedBlur,1024,540,3
MainStory6,Assets/Tracks/#ChapterCover/MainStory6.jpg,3a424fcaf947e70e7c561e439547ccf5.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,3a424fcaf947e70e7c561e439547ccf5.bundle,MainStory6,1024,540,3
MainStory6Blur,Assets/Tracks/#ChapterCover/MainStory6Blur.jpg,12a3ab0a11edc6c2bb9d24863f95aab2.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,12a3ab0a11edc6c2bb9d24863f95aab2.bundle,MainStory6Blur,1024,540,3
MainStory6Locked,Assets/Tracks/#ChapterCover/MainStory6Locked.jpg,5b22e6cef6c214f817c602b40035bd79.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,5b22e6cef6c214f817c602b40035bd79.bundle,MainStory6Locked,1024,540,3
MainStory6LockedBlur,Assets/Tracks/#ChapterCover/MainStory6LockedBlur.jpg,5079a2d040776d00318ab0f096e45bed.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,5079a2d040776d00318ab0f096e45bed.bundle,MainStory6LockedBlur,1024,540,3
MainStory7,Assets/Tracks/#ChapterCover/MainStory7.jpg,07f13cce1114f0214c5a7f04d8482696.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,07f13cce1114f0214c5a7f04d8482696.bundle,MainStory7,1024,540,3
MainStory7Blur,Assets/Tracks/#ChapterCover/MainStory7Blur.jpg,60bcc14a00282e7110b85406716a8435.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,60bcc14a00282e7110b85406716a8435.bundle,MainStory7Blur,1024,540,3
MainStory7Locked,Assets/Tracks/#ChapterCover/MainStory7Locked.jpg,8cc75c996132ef8ab1fbbbc7caff8728.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,8cc75c996132ef8ab1fbbbc7caff8728.bundle,MainStory7Locked,1024,540,3
MainStory7LockedBlur,Assets/Tracks/#ChapterCover/MainStory7LockedBlur.jpg,50c5c2e7dcf608c1e7210a2811f24b32.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,50c5c2e7dcf608c1e7210a2811f24b32.bundle,MainStory7LockedBlur,1024,540,3
MainStory8_0,Assets/Tracks/#ChapterCover/MainStory8_0.jpg,4d76b740569c4555b99e99ca3fbcf14d.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,4d76b740569c4555b99e99ca3fbcf14d.bundle,MainStory8_0,1024,540,3
MainStory8_0Blur,Assets/Tracks/#ChapterCover/MainStory8_0Blur.jpg,5cbd6863a6f3212f323830fec281b642.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,5cbd6863a6f3212f323830fec281b642.bundle,MainStory8_0Blur,1024,540,3
MainStory8_0BlurS,Assets/Tracks/#ChapterCover/MainStory8_0BlurS.jpg,f58ca4803da1d99ca448cfc040471b06.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,f58ca4803da1d99ca448cfc040471b06.bundle,MainStory8_0BlurS,1024,540,3
MainStory8_0S,Assets/Tracks/#ChapterCover/MainStory8_0S.jpg,01e175d63ee4437792d353ab819458a6.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,01e175d63ee4437792d353ab819458a6.bundle,MainStory8_0S,1024,540,3
MainStory8_1,Assets/Tracks/#ChapterCover/MainStory8_1.jpg,a6ff938f29cd1d1ad16325ec44e9a985.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,a6ff938f29cd1d1ad16325ec44e9a985.bundle,MainStory8_1,1024,540,3
MainStory8_1Blur,Assets/Tracks/#ChapterCover/MainStory8_1Blur.jpg,1892fc2a64e9ac7c0fd0511f326757b6.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,1892fc2a64e9ac7c0fd0511f326757b6.bundle,MainStory8_1Blur,1024,540,3
MainStory8_1BlurS,Assets/Tracks/#ChapterCover/MainStory8_1BlurS.jpg,4623c18bf2606537d559d5e2820a8584.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,4623c18bf2606537d559d5e2820a8584.bundle,MainStory8_1BlurS,1024,540,3
MainStory8_1S,Assets/Tracks/#ChapterCover/MainStory8_1S.jpg,f09d094cafff70bffea6f291222f975f.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,f09d094cafff70bffea6f291222f975f.bundle,MainStory8_1S,1024,540,3
MainStory8_2,Assets/Tracks/#ChapterCover/MainStory8_2.jpg,af04f02a60bd2a2e3f953b3c0b73f31c.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,af04f02a60bd2a2e3f953b3c0b73f31c.bundle,MainStory8_2,1024,540,3
MainStory8_2Blur,Assets/Tracks/#ChapterCover/MainStory8_2Blur.jpg,d04ec09b14818586ae3c3b31a5db47f7.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,d04ec09b14818586ae3c3b31a5db47f7.bundle,MainStory8_2Blur,1024,540,3
MainStory8_2BlurS,Assets/Tracks/#ChapterCover/MainStory8_2BlurS.jpg,6689fe3be5e530db11c3462074772d03.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,6689fe3be5e530db11c3462074772d03.bundle,MainStory8_2BlurS,1024,540,3
MainStory8_2S,Assets/Tracks/#ChapterCover/MainStory8_2S.jpg,5e3dc2c170ec709f5919fb7c27cabfe2.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,5e3dc2c170ec709f5919fb7c27cabfe2.bundle,MainStory8_2S,1024,540,3
MainStoryLegacy,Assets/Tracks/#ChapterCover/MainStoryLegacy.jpg,9502a3d8b31491532866ccadfa463ebd.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,9502a3d8b31491532866ccadfa463ebd.bundle,MainStoryLegacy,1024,540,3
MainStoryLegacyBlur,Assets/Tracks/#ChapterCover/MainStoryLegacyBlur.jpg,6f1bb14a2849c9f062efdf1c608ae3b8.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,6f1bb14a2849c9f062efdf1c608ae3b8.bundle,MainStoryLegacyBlur,1024,540,3
Ongeki,Assets/Tracks/#ChapterCover/Ongeki.jpg,8f809570e5be93ee1aeac13924b0c06d.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,8f809570e5be93ee1aeac13924b0c06d.bundle,Ongeki,1024,540,3
OngekiBlur,Assets/Tracks/#ChapterCover/OngekiBlur.jpg,69aa72dc686b5ebe0b419269bb4faae2.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,69aa72dc686b5ebe0b419269bb4faae2.bundle,OngekiBlur,1024,540,3
OverRapid,Assets/Tracks/#ChapterCover/OverRapid.jpg,35dc190c66c3e7f5d4cfc12edce983ce.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,35dc190c66c3e7f5d4cfc12edce983ce.bundle,OverRapid,1024,540,3
OverRapidBlur,Assets/Tracks/#ChapterCover/OverRapidBlur.jpg,7993c304799b9dc1a03e3342183e45ae.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,7993c304799b9dc1a03e3342183e45ae.bundle,OverRapidBlur,1024,540,3
ParadigmReboot,Assets/Tracks/#ChapterCover/ParadigmReboot.jpg,6d822e49132e4be6b72a250be97f66de.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,6d822e49132e4be6b72a250be97f66de.bundle,ParadigmReboot,1024,540,3
ParadigmRebootBlur,Assets/Tracks/#ChapterCover/ParadigmRebootBlur.jpg,17bfffed9e5b2f26612ae017b27551b9.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,17bfffed9e5b2f26612ae017b27551b9.bundle,ParadigmRebootBlur,1024,540,3
RST,Assets/Tracks/#ChapterCover/RST.jpg,b8fa7dd91475b93c17594e5063781ae2.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,b8fa7dd91475b93c17594e5063781ae2.bundle,RST,1024,540,3
RSTBlur,Assets/Tracks/#ChapterCover/RSTBlur.jpg,833f784b289f5cef5a500bc7e87c62f4.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,833f784b289f5cef5a500bc7e87c62f4.bundle,RSTBlur,1024,540,3
RhythmMaster,Assets/Tracks/#ChapterCover/RhythmMaster.jpg,cedbece32186d57ddb826654e334976e.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,cedbece32186d57ddb826654e334976e.bundle,RhythmMaster,1024,540,3
RhythmMasterBlur,Assets/Tracks/#ChapterCover/RhythmMasterBlur.jpg,a2deaaf0584d00b0bc69edb529c74a22.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,a2deaaf0584d00b0bc69edb529c74a22.bundle,RhythmMasterBlur,1024,540,3
Rotaeno,Assets/Tracks/#ChapterCover/Rotaeno.jpg,5568a9f0e2c4e94c52b5b864503fe661.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,5568a9f0e2c4e94c52b5b864503fe661.bundle,Rotaeno,1024,540,3
RotaenoBlur,Assets/Tracks/#ChapterCover/RotaenoBlur.jpg,01c332e88491f117becdb80a9db3d950.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,01c332e88491f117becdb80a9db3d950.bundle,RotaenoBlur,1024,540,3
SHINOBISLASH,Assets/Tracks/#ChapterCover/SHINOBISLASH.jpg,464c6ee9fed310a1a19ce95b39de4d94.bundle,UnityEngine.Sprite;UnityEngine.Texture2D,464c6ee9fed310a1a19ce95b39de4d94.bundle,SHINOBISLASH,1024,540,3
