duplicateType,resourceIdA,resourceIdB,resourceTypeA,resourceTypeB,displayTitleA,displayTitleB,matchedTrackFolderA,matchedTrackFolderB,canonicalCandidateA,canonicalCandidateB,evidence
exact-object-duplicate,01a00092-d514-7c55-b50b-e7e3ceb018df,01a00093-d66f-7392-81e4-88112ff5b43d,jacket,phigros-april-fools,After ZABANIYA (MUG Edit)」,After ZABANIYA (MUG Edit)」,AfterZABANIYAMUGEdit.Daily天利.0,AfterZABANIYAMUGEdit.Daily天利.0,true,false,Catalog original object SHA-256 is identical
exact-object-duplicate,01a00093-676b-7e47-b6ff-5d4f0a66bcc6,01a00093-d8e9-7651-a21b-cb1d287f9b7a,jacket,phigros-april-fools,Oblivion： Phin,Oblivion： Phin,,,,,Catalog original object SHA-256 is identical
